File Version,BWSpec4.11_1
78,794.51,12586.42,153.09,1549.0000,65535.0000,2787.0000,447.3760,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
79,794.66,12584.03,155.48,1641.0000,65535.0000,2813.0000,371.9184,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
80,794.81,12581.64,157.87,1478.0000,65535.0000,2688.0000,400.5776,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
81,794.96,12579.25,160.25,1484.0000,65535.0000,2737.0000,434.3553,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
82,795.11,12576.86,162.64,1661.0000,65535.0000,2918.0000,429.2535,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
83,795.26,12574.48,165.03,1556.0000,65535.0000,2774.0000,381.2739,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
84,795.41,12572.09,167.41,1442.0000,65535.0000,2697.0000,409.4183,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
85,795.56,12569.71,169.79,1319.0000,65535.0000,2599.0000,425.6886,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
86,795.71,12567.33,172.18,1610.0000,65535.0000,2918.0000,445.0863,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
87,795.86,12564.95,174.56,1471.0000,65535.0000,2750.0000,407.6134,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
88,796.02,12562.56,176.94,1584.0000,65535.0000,2973.0000,509.2713,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
89,796.17,12560.19,179.32,1821.0000,65535.0000,3298.0000,589.0620,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
90,796.32,12557.81,181.70,1426.0000,65535.0000,3143.0000,820.9869,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
91,796.47,12555.43,184.07,1599.0000,65535.0000,3818.0000,1315.0478,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
92,796.62,12553.05,186.45,1513.0000,65535.0000,4677.0000,2252.2462,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
93,796.77,12550.68,188.82,1413.0000,65535.0000,7207.0000,4874.5837,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
94,796.92,12548.30,191.20,1379.0000,65535.0000,11807.0000,9501.0616,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
95,797.07,12545.93,193.57,1515.0000,65535.0000,17616.0000,15166.6811,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
96,797.22,12543.56,195.94,1482.0000,65535.0000,18241.0000,15817.4430,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
97,797.37,12541.19,198.32,1673.0000,65535.0000,11454.0000,8832.3470,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
98,797.52,12538.82,200.69,1422.0000,65535.0000,6312.0000,3934.3925,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
99,797.67,12536.45,203.05,1475.0000,65535.0000,4362.0000,1924.5781,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
100,797.82,12534.08,205.42,1332.0000,65535.0000,3486.0000,1184.9022,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
101,797.98,12531.71,207.79,1437.0000,65535.0000,3165.0000,752.3633,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
102,798.13,12529.35,210.16,1647.0000,65535.0000,3269.0000,639.9598,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
103,798.28,12526.98,212.52,1385.0000,65535.0000,2971.0000,597.6899,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
104,798.43,12524.62,214.88,1421.0000,65535.0000,2926.0000,510.5519,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
105,798.58,12522.25,217.25,1616.0000,65535.0000,3197.0000,580.5441,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
106,798.73,12519.89,219.61,1702.0000,65535.0000,3214.0000,505.6647,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
107,798.88,12517.53,221.97,1696.0000,65535.0000,3157.0000,448.9120,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
