File Version,BWSpec4.11_1
82,795.11,12576.86,162.64,0.0000,65535.0000,3999.0000,1116.6691,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
83,795.26,12574.48,165.03,0.0000,65535.0000,3820.0000,921.5400,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
84,795.41,12572.09,167.41,0.0000,65535.0000,3685.0000,770.5730,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
85,795.56,12569.71,169.79,0.0000,65535.0000,3643.0000,712.7695,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
86,795.71,12567.33,172.18,0.0000,65535.0000,3919.0000,973.1309,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
87,795.86,12564.95,174.56,0.0000,65535.0000,3749.0000,787.6587,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
88,796.02,12562.56,176.94,0.0000,65535.0000,3907.0000,930.3542,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
89,796.17,12560.19,179.32,0.0000,65535.0000,4246.0000,1254.2187,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
90,796.32,12557.81,181.70,0.0000,65535.0000,4054.0000,1047.2534,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
91,796.47,12555.43,184.07,0.0000,65535.0000,4556.0000,1534.4594,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
92,796.62,12553.05,186.45,0.0000,65535.0000,4979.0000,1942.8381,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
93,796.77,12550.68,188.82,0.0000,65535.0000,5815.0000,2764.3903,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
94,796.92,12548.30,191.20,0.0000,65535.0000,7344.0000,4279.1171,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
95,797.07,12545.93,193.57,0.0000,65535.0000,9281.0000,6202.0193,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
96,797.22,12543.56,195.94,0.0000,65535.0000,9500.0000,6407.0975,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
97,797.37,12541.19,198.32,0.0000,65535.0000,8297.0000,5190.3519,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
98,797.52,12538.82,200.69,0.0000,65535.0000,6205.0000,3084.7827,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
99,797.67,12536.45,203.05,0.0000,65535.0000,5112.0000,1978.3894,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
